Acedamic percentage in Operating Systems,percentage in Algorithms,Percentage in Programming Concepts,Percentage in Software Engineering,Percentage in Computer Networks,Percentage in Electronics Subjects,Percentage in Computer Architecture,Percentage in Mathematics,Percentage in Communication skills,Hours working per day,Logical quotient rating,hackathons,coding skills rating,public speaking points,can work long time before system?,self-learning capability?,Extra-courses did,certifications,workshops,talenttests taken?,olympiads,reading and writing skills,memory capability score,Interested subjects,interested career area ,Job/Higher Studies?,Type of company want to settle in?,Taken inputs from seniors or elders,interested in games,Interested Type of Books,Salary Range Expected,In a Realtionship?,Gentle or Tuff behaviour?,Management or Technical,Salary/work,hard/smart worker,worked in teams ever?,Introvert,Suggested Job Role
74,89,66,75,86,61,63,80,69,9,9,5,7,6,no,yes,yes,shell programming,testing,yes,yes,excellent,poor,data engineering,testing,job,Service Based,no,no,Childrens,Work,yes,gentle,Management,work,smart worker,no,no,Technical Support
92,67,76,92,69,90,80,77,66,4,7,5,5,1,yes,yes,no,full stack,testing,yes,no,medium,poor,parallel computing,cloud computing,higherstudies,product development,no,yes,Childrens,salary,yes,stubborn,Technical,work,smart worker,no,yes,Technical Support
75,74,85,93,92,80,87,78,91,12,5,0,4,7,yes,yes,no,distro making,testing,yes,no,medium,excellent,networks,developer,higherstudies,SAaS services,yes,yes,History,Work,yes,stubborn,Technical,salary,hard worker,no,yes,Information Security Analyst
90,82,75,72,84,79,83,68,67,4,8,5,1,8,no,yes,no,python,database security,no,yes,excellent,medium,programming,Business process analyst,higherstudies,SAaS services,no,yes,Self help,Work,no,stubborn,Management,salary,hard worker,yes,no,Business Intelligence Analyst
71,60,93,79,78,93,90,76,75,12,9,1,3,5,yes,yes,yes,app development,data science,no,yes,poor,excellent,parallel computing,security,job,Web Services,no,yes,Dictionaries,salary,yes,stubborn,Technical,work,smart worker,no,no,Project Manager
83,82,64,70,93,73,87,83,87,11,1,0,1,8,yes,no,yes,app development,testing,no,yes,excellent,medium,cloud computing,cloud computing,higherstudies,BPA,yes,no,Art,Work,yes,gentle,Management,work,hard worker,no,no,Information Technology Manager
83,68,70,90,85,75,90,92,85,4,3,1,2,6,yes,no,no,app development,testing,yes,yes,excellent,poor,networks,Business process analyst,higherstudies,Cloud Services,no,yes,Journals,salary,yes,gentle,Management,work,smart worker,yes,yes,Web Developer
89,88,65,78,87,63,75,71,90,4,2,3,9,8,no,yes,yes,python,data science,yes,no,poor,medium,data engineering,Business process analyst,higherstudies,BPA,no,yes,Self help,salary,yes,gentle,Technical,salary,hard worker,no,yes,Programmer Analyst
74,70,93,85,82,94,71,93,75,11,5,6,3,1,no,yes,no,full stack,game development,no,yes,excellent,poor,cloud computing,testing,job,product development,no,yes,Childrens,Work,yes,stubborn,Technical,work,smart worker,no,no,Business Systems Analyst
80,85,68,64,86,62,78,87,87,7,7,4,7,5,yes,yes,no,shell programming,testing,no,yes,excellent,excellent,data engineering,testing,job,Finance,yes,no,Horror,Work,no,stubborn,Technical,work,hard worker,no,no,Systems Security Administrator
70,67,64,82,77,72,87,68,65,10,9,0,2,5,no,yes,no,full stack,database security,no,yes,excellent,poor,parallel computing,system developer,job,Finance,no,yes,Childrens,salary,yes,gentle,Management,work,hard worker,no,no,Business Systems Analyst
76,63,84,85,61,76,65,87,76,11,8,4,2,9,yes,no,no,app development,web technologies,no,yes,poor,excellent,data engineering,security,job,Product based,yes,yes,Trilogy,Work,yes,stubborn,Technical,salary,smart worker,yes,no,Design & UX
66,74,78,85,68,69,86,83,80,9,8,6,2,9,no,yes,no,hadoop,hacking,yes,yes,excellent,excellent,Computer Architecture,testing,job,SAaS services,no,yes,Childrens,Work,yes,stubborn,Technical,salary,smart worker,no,yes,Solutions Architect
83,83,62,82,61,77,89,82,78,11,3,6,9,5,no,no,yes,app development,system designing,no,no,poor,poor,Computer Architecture,Business process analyst,job,Testing and Maintainance Services,no,yes,Encyclopedias,Work,yes,gentle,Technical,salary,hard worker,no,yes,Business Systems Analyst
66,71,72,60,93,65,81,78,94,9,8,5,7,4,no,yes,no,shell programming,cloud computing,no,no,excellent,poor,hacking,Business process analyst,job,BPA,no,no,Encyclopedias,Work,yes,stubborn,Management,work,smart worker,no,yes,Systems Analyst
70,71,65,84,86,72,79,68,63,8,8,0,4,7,yes,no,no,full stack,system designing,yes,no,medium,medium,data engineering,testing,job,Finance,yes,yes,Action and Adventure,Work,yes,stubborn,Technical,work,smart worker,no,yes,Network Security Administrator
78,85,80,85,83,74,82,70,62,10,6,2,1,8,yes,yes,yes,app development,hacking,yes,yes,poor,poor,cloud computing,Business process analyst,job,SAaS services,no,yes,Anthology,salary,yes,gentle,Technical,salary,hard worker,yes,no,Data Architect
74,67,94,65,94,83,93,81,84,5,5,1,6,9,yes,yes,yes,python,game development,yes,yes,poor,excellent,Software Engineering,testing,higherstudies,BPA,yes,yes,Action and Adventure,Work,no,gentle,Technical,work,hard worker,no,yes,CRM Technical Developer
85,74,70,69,87,92,71,94,64,5,9,1,1,9,no,yes,no,app development,web technologies,yes,no,medium,excellent,Software Engineering,cloud computing,job,Web Services,no,yes,Dictionaries,Work,no,stubborn,Technical,salary,smart worker,no,no,Software Developer
61,71,77,82,70,65,65,60,94,5,3,2,6,7,no,yes,yes,machine learning,data science,yes,no,medium,medium,IOT,security,higherstudies,Cloud Services,yes,yes,Fantasy,Work,yes,gentle,Technical,salary,hard worker,no,no,E-Commerce Analyst
71,83,80,71,85,60,63,93,88,11,7,4,8,1,yes,yes,yes,full stack,web technologies,no,yes,poor,medium,Software Engineering,Business process analyst,job,SAaS services,no,yes,Childrens,salary,no,gentle,Management,work,smart worker,yes,no,Technical Services/Help Desk/Tech Support
67,83,86,63,82,71,70,64,78,8,9,0,5,8,yes,yes,no,machine learning,testing,yes,no,poor,excellent,Management,security,higherstudies,Cloud Services,yes,yes,Drama,Work,no,gentle,Technical,work,hard worker,yes,no,Systems Analyst
76,82,76,62,94,90,92,79,73,5,5,6,8,4,yes,yes,no,shell programming,testing,yes,no,poor,medium,networks,Business process analyst,higherstudies,Testing and Maintainance Services,no,no,Comics,Work,yes,stubborn,Management,salary,hard worker,yes,no,Information Technology Auditor
69,81,74,62,60,82,82,75,70,4,7,4,2,9,yes,yes,no,python,testing,no,yes,poor,excellent,data engineering,security,higherstudies,BPA,yes,no,Art,salary,no,stubborn,Technical,work,hard worker,no,no,Network Security Administrator
81,83,63,78,66,63,75,85,78,7,7,6,5,5,no,yes,yes,shell programming,cloud computing,yes,no,medium,medium,Software Engineering,system developer,job,Finance,yes,no,Horror,Work,yes,stubborn,Technical,salary,smart worker,no,yes,Database Manager
79,73,77,91,84,68,82,63,84,9,7,1,3,5,yes,yes,no,python,database security,yes,no,poor,poor,hacking,cloud computing,job,Product based,no,no,Self help,Work,yes,stubborn,Management,work,hard worker,yes,yes,Web Developer
73,78,76,75,71,66,92,91,81,10,5,5,9,5,no,no,no,distro making,database security,yes,no,excellent,poor,Computer Architecture,system developer,job,Service Based,yes,no,Diaries,Work,yes,stubborn,Technical,salary,hard worker,yes,no,Information Security Analyst
69,71,88,82,88,71,83,93,92,12,2,1,1,5,yes,yes,no,information security,database security,no,yes,excellent,poor,parallel computing,security,higherstudies,Web Services,yes,yes,Science fiction,Work,no,stubborn,Technical,work,smart worker,no,no,E-Commerce Analyst
75,84,63,90,77,81,71,63,69,11,4,3,2,4,yes,no,yes,machine learning,cloud computing,yes,no,poor,medium,hacking,cloud computing,job,SAaS services,no,no,Comics,Work,no,stubborn,Management,salary,smart worker,no,yes,Technical Services/Help Desk/Tech Support
73,69,63,90,64,60,80,78,78,4,5,0,6,2,yes,yes,no,information security,testing,yes,yes,poor,poor,programming,testing,higherstudies,BPA,no,yes,Series,Work,yes,stubborn,Management,work,smart worker,yes,no,Applications Developer
62,92,83,84,93,68,88,74,71,6,8,1,4,6,no,yes,yes,information security,database security,yes,yes,medium,medium,hacking,security,higherstudies,Cloud Services,no,yes,Childrens,Work,yes,stubborn,Technical,work,hard worker,no,yes,Software Systems Engineer
69,73,86,91,77,60,84,67,73,10,3,5,2,8,no,yes,yes,hadoop,cloud computing,yes,yes,poor,poor,cloud computing,Business process analyst,job,Service Based,yes,no,Self help,salary,no,stubborn,Technical,salary,hard worker,no,yes,CRM Technical Developer
69,62,64,67,71,87,79,60,77,10,6,3,7,8,yes,yes,no,shell programming,system designing,yes,no,poor,poor,parallel computing,system developer,higherstudies,Finance,no,no,Guide,Work,no,stubborn,Technical,salary,smart worker,yes,no,Database Manager
65,78,80,93,87,60,85,67,68,8,3,0,4,3,yes,no,no,machine learning,hacking,yes,yes,poor,poor,networks,cloud computing,higherstudies,Cloud Services,no,yes,Biographies,salary,yes,gentle,Technical,salary,hard worker,yes,no,Technical Support
76,87,80,67,66,66,80,74,75,5,9,6,1,7,no,no,no,full stack,testing,yes,no,poor,medium,Management,testing,job,Web Services,no,yes,Series,salary,yes,gentle,Technical,work,smart worker,no,no,Database Administrator
74,85,64,72,67,64,62,73,92,9,5,0,7,9,yes,yes,yes,distro making,hacking,yes,no,excellent,poor,hacking,developer,job,Testing and Maintainance Services,yes,no,Health,Work,no,stubborn,Technical,salary,smart worker,no,yes,Network Engineer
86,63,73,94,70,67,91,92,93,6,3,4,3,8,yes,no,yes,machine learning,system designing,no,no,poor,poor,data engineering,security,job,product development,yes,yes,Diaries,Work,no,stubborn,Technical,salary,hard worker,no,yes,Mobile Applications Developer
64,69,76,62,63,67,86,66,75,4,7,0,4,4,no,no,no,distro making,testing,yes,yes,poor,excellent,Computer Architecture,developer,job,Web Services,yes,yes,Journals,Work,no,stubborn,Management,work,hard worker,yes,yes,Technical Services/Help Desk/Tech Support
93,94,70,85,68,91,69,78,86,7,2,2,8,7,no,no,yes,full stack,cloud computing,yes,yes,poor,excellent,parallel computing,Business process analyst,job,Finance,no,yes,Diaries,Work,no,stubborn,Management,work,hard worker,no,no,Technical Support
94,74,75,74,65,74,63,85,89,7,6,5,6,5,yes,yes,no,machine learning,game development,yes,no,medium,medium,Management,security,job,BPA,yes,no,Diaries,Work,no,stubborn,Technical,salary,hard worker,yes,no,Information Technology Manager
88,62,67,73,90,80,76,67,70,10,1,3,6,5,yes,no,no,r programming,web technologies,no,yes,poor,poor,Management,developer,higherstudies,Cloud Services,yes,no,Art,Work,yes,stubborn,Management,salary,smart worker,yes,yes,E-Commerce Analyst
76,91,84,66,84,87,61,79,64,10,2,5,1,8,yes,no,no,python,data science,no,no,medium,medium,cloud computing,security,job,Service Based,yes,no,Prayer books,salary,no,stubborn,Management,salary,hard worker,no,yes,Software Developer
80,75,83,75,85,62,74,70,61,9,8,2,1,8,no,no,no,information security,cloud computing,no,yes,excellent,poor,Computer Architecture,cloud computing,job,BPA,yes,no,Guide,Work,yes,stubborn,Management,work,smart worker,no,yes,Solutions Architect
75,74,72,90,94,86,64,75,70,8,3,5,4,3,no,yes,yes,python,database security,no,no,medium,excellent,data engineering,system developer,higherstudies,Web Services,no,no,Childrens,Work,yes,gentle,Management,work,hard worker,yes,no,Software Systems Engineer
69,67,68,80,84,67,76,80,76,12,7,0,4,6,no,yes,yes,hadoop,testing,yes,yes,medium,poor,data engineering,security,job,Cloud Services,yes,yes,Art,salary,no,gentle,Management,salary,smart worker,yes,no,Network Engineer
83,84,66,70,64,83,90,61,83,8,3,2,7,4,yes,no,no,r programming,cloud computing,yes,no,excellent,medium,networks,system developer,job,Service Based,yes,yes,History,Work,yes,gentle,Management,salary,smart worker,yes,yes,Technical Support
88,72,79,90,70,75,77,81,67,4,6,0,9,7,yes,no,yes,hadoop,web technologies,yes,no,poor,poor,IOT,developer,higherstudies,Service Based,no,no,Health,salary,no,gentle,Technical,work,hard worker,yes,no,Information Technology Manager
83,66,93,68,74,66,81,71,94,5,7,0,6,3,no,no,yes,information security,web technologies,yes,yes,poor,excellent,programming,security,job,Cloud Services,no,no,Anthology,salary,no,stubborn,Technical,salary,smart worker,no,no,Software Engineer
83,68,63,61,70,75,74,92,75,5,4,5,6,1,yes,no,yes,information security,system designing,no,yes,poor,medium,hacking,testing,higherstudies,product development,yes,yes,Science fiction,Work,no,gentle,Management,salary,hard worker,yes,no,Software Developer
89,89,68,63,75,86,87,63,63,5,5,4,7,8,no,yes,no,python,testing,yes,no,medium,excellent,IOT,Business process analyst,higherstudies,Cloud Services,yes,yes,Travel,salary,no,stubborn,Management,work,smart worker,yes,yes,Programmer Analyst
90,61,75,93,90,85,85,66,78,9,1,4,6,9,no,no,no,machine learning,system designing,no,no,excellent,poor,cloud computing,testing,higherstudies,Service Based,yes,no,Guide,Work,yes,stubborn,Management,salary,smart worker,yes,no,CRM Business Analyst
91,62,71,87,64,68,90,73,94,7,9,6,4,2,yes,yes,no,machine learning,cloud computing,no,no,excellent,poor,Computer Architecture,security,job,Service Based,no,no,Autobiographies,salary,no,stubborn,Technical,work,hard worker,no,yes,Software Developer
66,69,63,81,80,90,81,71,73,6,5,6,3,1,yes,no,no,r programming,web technologies,yes,yes,medium,medium,parallel computing,system developer,job,Web Services,yes,no,Biographies,Work,no,stubborn,Management,work,hard worker,no,no,Business Intelligence Analyst
61,74,91,81,80,93,90,94,80,10,2,3,4,8,no,no,no,r programming,system designing,no,no,medium,poor,data engineering,testing,job,Web Services,yes,no,Encyclopedias,salary,no,gentle,Technical,salary,hard worker,no,no,Database Administrator
92,74,71,68,84,63,88,89,69,8,6,3,4,5,no,yes,no,distro making,game development,yes,yes,poor,excellent,IOT,testing,job,Service Based,yes,no,Satire,Work,no,gentle,Management,work,hard worker,yes,no,Technical Engineer
64,74,91,73,68,76,62,82,63,10,5,2,7,3,yes,no,no,app development,testing,yes,yes,excellent,poor,Management,developer,higherstudies,Cloud Services,no,yes,Health,Work,no,gentle,Technical,salary,hard worker,no,no,Data Architect
72,85,77,88,91,88,78,91,83,8,5,6,1,9,yes,yes,yes,app development,testing,yes,yes,medium,medium,IOT,developer,higherstudies,Sales and Marketing,yes,no,Science,Work,yes,stubborn,Technical,salary,hard worker,yes,yes,Network Security Engineer
74,86,65,84,66,84,62,69,79,5,6,0,3,4,yes,no,no,full stack,cloud computing,no,yes,excellent,excellent,parallel computing,security,higherstudies,Testing and Maintainance Services,yes,no,Self help,Work,yes,stubborn,Management,work,smart worker,no,no,CRM Technical Developer
88,80,67,91,66,84,61,62,85,6,7,0,3,1,yes,no,yes,app development,system designing,yes,yes,excellent,excellent,Management,system developer,higherstudies,BPA,yes,yes,Satire,salary,yes,gentle,Technical,work,hard worker,yes,no,Software Developer
76,75,78,86,94,84,64,92,65,12,9,0,6,3,yes,yes,yes,machine learning,system designing,no,yes,medium,medium,data engineering,security,job,Testing and Maintainance Services,no,yes,Prayer books,salary,yes,stubborn,Technical,salary,hard worker,no,yes,Systems Security Administrator
73,68,91,92,87,65,94,90,66,11,7,0,8,4,yes,yes,yes,distro making,testing,yes,no,excellent,excellent,Computer Architecture,cloud computing,job,Sales and Marketing,no,yes,Encyclopedias,salary,yes,gentle,Technical,work,smart worker,no,no,Network Engineer
63,61,79,91,78,83,76,66,61,11,6,0,1,1,yes,no,no,shell programming,hacking,no,no,medium,excellent,Management,testing,higherstudies,Finance,no,no,Drama,Work,no,gentle,Management,work,smart worker,yes,yes,Technical Services/Help Desk/Tech Support
60,64,93,93,81,89,81,63,68,7,8,3,9,1,no,no,no,machine learning,database security,yes,yes,poor,poor,Computer Architecture,testing,higherstudies,Web Services,yes,no,Health,Work,no,stubborn,Technical,salary,hard worker,no,no,Systems Security Administrator
76,93,65,63,86,88,88,93,78,9,4,5,5,2,yes,yes,yes,hadoop,web technologies,yes,yes,poor,medium,IOT,security,higherstudies,BPA,no,yes,Action and Adventure,salary,yes,gentle,Management,work,smart worker,yes,yes,Web Developer
72,92,90,67,64,83,60,87,84,8,9,0,1,6,no,yes,no,full stack,hacking,no,no,poor,poor,Software Engineering,testing,higherstudies,Service Based,yes,yes,Fantasy,Work,yes,gentle,Technical,salary,hard worker,no,no,Portal Administrator
85,67,77,91,64,92,84,83,75,5,6,5,6,8,yes,yes,no,full stack,game development,no,yes,poor,excellent,Computer Architecture,system developer,job,SAaS services,yes,yes,Anthology,salary,yes,stubborn,Management,salary,smart worker,yes,no,Software Developer
81,84,69,71,88,60,75,93,74,11,3,3,7,8,no,no,yes,distro making,data science,yes,yes,medium,excellent,parallel computing,Business process analyst,higherstudies,BPA,no,no,Biographies,Work,yes,stubborn,Management,salary,hard worker,no,yes,Network Security Engineer
82,65,74,93,72,73,67,83,72,5,2,3,4,4,yes,no,yes,machine learning,cloud computing,no,no,excellent,excellent,networks,system developer,job,BPA,no,yes,Horror,Work,no,gentle,Technical,salary,smart worker,no,yes,Solutions Architect
74,69,86,77,75,76,81,94,83,5,7,6,7,8,no,yes,no,shell programming,cloud computing,yes,no,poor,excellent,hacking,developer,job,product development,no,yes,Poetry,salary,no,gentle,Management,work,smart worker,yes,yes,Network Security Administrator
70,64,73,76,76,88,71,75,60,12,9,1,7,6,no,yes,yes,app development,hacking,yes,yes,excellent,excellent,data engineering,cloud computing,job,Service Based,no,no,Romance,salary,yes,gentle,Management,work,hard worker,yes,yes,Portal Administrator
71,67,61,65,68,61,72,86,86,7,5,5,6,3,no,yes,yes,shell programming,cloud computing,no,no,excellent,poor,IOT,security,job,Sales and Marketing,yes,yes,Anthology,Work,no,stubborn,Technical,salary,hard worker,no,no,UX Designer
77,92,70,91,83,65,84,61,73,4,1,2,8,2,yes,no,yes,app development,system designing,no,no,medium,poor,Management,cloud computing,job,BPA,no,yes,Self help,Work,no,stubborn,Management,work,hard worker,yes,no,Project Manager
60,85,74,91,66,86,79,63,64,10,1,3,7,2,no,yes,no,hadoop,data science,yes,no,medium,poor,parallel computing,cloud computing,higherstudies,SAaS services,no,yes,Horror,salary,yes,gentle,Management,work,smart worker,yes,no,Project Manager
91,94,76,84,65,71,72,81,81,5,2,0,2,3,yes,no,yes,distro making,game development,yes,yes,excellent,poor,Management,cloud computing,job,Finance,yes,yes,History,salary,yes,gentle,Technical,work,hard worker,yes,yes,Network Engineer
66,67,71,67,80,85,68,90,82,7,2,6,2,5,no,no,yes,machine learning,game development,no,yes,excellent,excellent,cloud computing,Business process analyst,job,Product based,yes,yes,Fantasy,Work,yes,stubborn,Management,salary,smart worker,no,no,Quality Assurance Associate
71,85,61,87,69,80,64,70,93,6,7,6,4,3,no,no,yes,shell programming,testing,no,no,excellent,medium,Management,system developer,higherstudies,Cloud Services,yes,no,Autobiographies,salary,yes,gentle,Technical,salary,hard worker,no,yes,Applications Developer
82,69,71,80,72,94,60,66,67,8,2,1,8,8,no,yes,yes,shell programming,game development,no,no,excellent,excellent,hacking,system developer,job,product development,no,no,Guide,salary,no,gentle,Management,salary,hard worker,yes,no,Technical Engineer
81,91,93,69,86,74,80,70,68,6,2,3,2,8,no,no,no,distro making,testing,no,no,excellent,medium,networks,security,job,BPA,no,no,Prayer books,Work,yes,stubborn,Management,work,hard worker,yes,yes,Network Security Administrator
73,60,94,70,88,80,94,81,66,5,8,5,7,6,yes,no,yes,full stack,web technologies,yes,no,medium,excellent,Management,cloud computing,higherstudies,Testing and Maintainance Services,yes,yes,Science fiction,salary,no,stubborn,Management,salary,smart worker,yes,no,CRM Technical Developer
81,79,87,79,71,84,81,61,71,10,7,1,3,7,no,yes,yes,python,data science,no,no,medium,poor,Management,developer,job,Service Based,no,no,Horror,salary,no,stubborn,Technical,salary,hard worker,yes,yes,E-Commerce Analyst
60,77,90,94,94,84,70,64,86,6,3,4,1,3,yes,no,yes,information security,hacking,yes,yes,excellent,excellent,parallel computing,developer,job,Testing and Maintainance Services,yes,no,Guide,salary,yes,gentle,Management,salary,smart worker,no,yes,Software Quality Assurance (QA) / Testing
78,62,85,92,67,76,74,71,76,12,2,3,7,1,yes,yes,no,machine learning,hacking,yes,yes,poor,medium,hacking,cloud computing,job,Cloud Services,no,yes,Art,salary,no,stubborn,Technical,work,hard worker,yes,yes,Network Security Administrator
91,76,85,64,88,90,87,88,69,12,8,4,1,8,no,yes,yes,r programming,cloud computing,no,yes,poor,poor,networks,testing,job,Finance,no,yes,Self help,Work,no,gentle,Management,work,hard worker,no,yes,Network Engineer
92,69,62,67,83,74,94,66,77,7,9,5,8,8,yes,yes,yes,information security,database security,yes,no,poor,poor,programming,Business process analyst,job,SAaS services,no,yes,Drama,Work,yes,stubborn,Technical,salary,hard worker,no,no,Technical Engineer
81,64,61,82,76,71,73,74,65,7,7,5,1,7,no,no,yes,machine learning,system designing,no,no,poor,poor,parallel computing,system developer,higherstudies,Web Services,no,yes,Series,salary,yes,stubborn,Management,work,hard worker,yes,yes,Systems Security Administrator
78,90,65,84,82,75,76,65,82,6,2,2,5,6,no,yes,yes,python,data science,yes,yes,medium,medium,Computer Architecture,testing,job,BPA,yes,no,Childrens,salary,yes,gentle,Management,work,hard worker,yes,yes,Design & UX
83,67,76,86,85,68,89,93,94,4,8,5,8,6,yes,yes,yes,app development,web technologies,no,no,poor,poor,Computer Architecture,testing,job,Sales and Marketing,yes,yes,Mystery,salary,no,gentle,Management,work,smart worker,yes,no,Database Administrator
69,91,87,70,86,91,89,81,71,4,8,6,1,9,no,yes,yes,hadoop,data science,no,yes,poor,excellent,parallel computing,cloud computing,higherstudies,Cloud Services,yes,yes,Cookbooks,salary,no,gentle,Management,salary,hard worker,yes,no,Programmer Analyst
63,93,69,61,82,74,87,84,65,4,6,3,4,3,no,no,yes,python,cloud computing,yes,no,excellent,poor,programming,testing,job,SAaS services,yes,yes,Prayer books,salary,yes,stubborn,Technical,work,hard worker,yes,no,Software Quality Assurance (QA) / Testing
